,企業名,キャッチコピー,ステータス,初年度年収
224,PT. OS Selnajaya Indonesia,【営業】商社勤務・オフィスはジャカルタ中心部！ 人材バンク登録,人材バンク登録,
225,さわやか信用金庫 | ＜設立95年＞都内・神奈川県内の地域密着型◎転居を伴う異動なし,経験不問☆第二新卒歓迎【営業】地域活性や暮らしに貢献できる！ 正社員,正社員,
226,佐賀日産自動車株式会社 | 日産グループ | お客様の安全なカーライフをお手伝い,【 カーライフアドバイザー 】★若手採用 ★残業月10時間程度 正社員,正社員,
227,臼井不動産株式会社 | 《横須賀エリアで知名度バツグン！安定企業へ》★家賃補助あり,不動産の知識を活かせる！【不動産管理】★基本18時退社 正社員,正社員,350万円～500万円
228,住信SBIネット銀行株式会社 | 三井住友信託銀行とSBI HDが共同出資する業界大手のネット銀行,【総合職・特定職（住宅ローン営業・事務／代理店営業・管理）】 正社員,正社員,350万円～700万円
229,"ICONIC CO., LTD. | ”海外発”アジア・グローバルキャリアの転職サポート会社です！",家電製品メーカー【品質管理マネージャー】駐在切替の可能性あり 人材バンク登録,人材バンク登録,200万円～350万円
230,株式会社こどもスクール | 生徒数250名を誇る「しながわ・目黒こどもスクール」を運営,小学校受験の幼児教室【講師・教室運営】★残業ほとんどなし 正社員,正社員,
231,株式会社名古屋医理科商会 | 医療の現場を支える仕事／20代・30代が多数活躍中,未経験OK！【 ルート営業 】週休2日(土日祝)／年間休日122日 正社員,正社員,
232,東海理機株式会社 | 躍進する計測器の総合商社★8期連続期末賞与支給★WEB面接OK,【ルート営業】中途のハンデ一切なし/年休120日以上/賞与年3回★ 正社員,正社員,320万円～400万円
233,北海道旅客鉄道株式会社 | JR北海道,北海道の鉄道を支える【鉄道技術職(保線・土木・建築)】 正社員,正社員,
234,PT. OS Selnajaya Indonesia,【アシスタントマネージャー】会計コンサル会社でのお仕事です！ 人材バンク登録,人材バンク登録,
235,北海道旅客鉄道株式会社 | 【“JR北海道”の正社員募集】北海道の将来を担う不動産開発！,《経験者募集》【不動産開発関連職】★残業月10h程・土日祝休み 正社員,正社員,
236,北海道旅客鉄道株式会社 | ＪＲ北海道,【機械電気系　鉄道技術職】＜鉄道車両・電気・機械設備＞ 正社員,正社員,
237,コニカミノルタ株式会社 | 東証プライム上場｜海外売上比率80%｜世界150ヶ国へサービス展開,あなたの手で医療に変革を。【医療用機器製品のエレキ設計開発】 正社員,正社員,500万円～800万円
238,"QUICK VIETNAM Co.,Ltd.",長期的に勤務希望の方歓迎！福利厚生充実の【保険営業】 人材バンク登録,人材バンク登録,
239,コニカミノルタ株式会社 | 東証プライム上場・海外売上高比率77%！,【ヘルスケア事業の海外販社担当】★年間休日125日 正社員,正社員,500万円～800万円
240,株式会社大栄螺旋工業 | 【自社一貫のものづくりメーカー】実質年間休日120日★残業少,トップクラスシェア！既存メインの【企画営業】◎若手積極採用中 正社員,正社員,
241,茨城宝栄工業株式会社 | 昭和21年創業の宝栄工業株式会社のグループ企業,【製造スタッフ】働きやすい制度強化中！※工場見学有で安心♪ 正社員,正社員,
242,ソニー生命保険株式会社 | 完全週休2日制(土日祝休み)／★保険の直接営業ではありません,【サポーター(代理店営業職)】業界未経験歓迎 正社員,正社員,550万円～750万円
243,HRNAVI JOINT STOCK COMPANY | ベトナムでの転職に特化した人材紹介会社です！,三菱電機製品販売代理店での【営業職】※ベトナム勤務 人材バンク登録,人材バンク登録,
244,コニカミノルタ株式会社 | 東証プライム上場・海外売上高比率77%！,世界で需要拡大中の産業用製品【営業職】★年間休日125日 正社員,正社員,500万円～800万円
245,株式会社帝国データバンク | 1900年創業◆企業信用調査のリーディングカンパニー,飛び込み・新規テレアポなし【調査・提案営業】20～30代活躍中 正社員,正社員,350万円～800万円
246,セブントゥーファイブ株式会社 | 【東証プライム上場のグループ企業】*Web面接可*土日祝休み,【総合職（法人営業／ドローンパイロット／アシスタント）】 正社員,正社員,300万円～800万円
247,株式会社鹿児島銀行 | 【九州フィナンシャルグループ】★20～30代活躍中/WEB面接OK★,地域創生に貢献する【総合職(営業/企画)】土日祝休/第二新卒歓迎 正社員,正社員,400万円～700万円
248,Nadia株式会社 | ＼大人気レシピサイト『Nadia』を運営／◆年休124日◆土日祝休み,営業や料理家さんを支える【サポート事務】出勤時間は自由選択♪ 正社員,正社員,300万円～420万円
249,トランスコスモス株式会社 | 【BPOセンター熊本】あなたのキャリアを応援します★,熊本×転勤ナシ【運営・事務管理スタッフ】年休122日/土日祝休み 正社員,正社員,280万円～400万円
