,企業名,キャッチコピー,ステータス,初年度年収
84,株式会社フレックス | 大阪ガスグループ/黒字経営継続中/残業少なめ/毎年昇給＆賞与有,東大阪・大東限定募集！【営業スタッフ】※土日祝休／転勤なし 正社員,正社員,300万円～500万円
85,東京地下鉄株式会社 | 応募:5月14日(土)迄／エントリーシート登録:5月16日(月)12:00迄,未経験歓迎【運輸職種（駅係員・乗務員）】★自社研修制度が充実 正社員,正社員,300万円～400万円
86,光電気工事株式会社 | ◆2019年新社屋完成　◆年収700万も目指せる　◆20～50代活躍中,転職者が多く活躍中！【総合職(施工管理・電気工事)】 正社員,正社員,300万円～650万円
87,株式会社ワット・コンサルティング | 上場企業グループ★安定性◎未経験向け研修カリキュラム期間No.1,未経験から手に職をつける【CAD事務】質の高い研修をご用意★ 正社員,正社員,260万円～360万円
88,株式会社フレスコ関東 | 関西発、関東にも進出中の大手スーパーグループ企業,今秋新店OPEN！食品スーパーの【総合職】※店長候補/前給考慮 正社員,正社員,300万円～450万円
89,株式会社ファーストスクエア | 全国トップクラス業績！だから賞与年2回★スピードキャリアUP！,【総合職(PR・企画・セールスプロモーションなど)】若手活躍中！ 正社員,正社員,350万円～500万円
90,アーキ・ヤマイチ株式会社 | 【老舗の建材メーカーグループ】＊完全週休2日制＊年休120日超,【法人営業(ルート)】★2021年度賞与は”5ヶ月分” ★転勤なし 正社員,正社員,350万円～450万円
91,株式会社KDDIエボルバ | [WEB面接※スマホでOK]17:25に業務終了！明るいうちに帰れます♪,土日祝休み／年休122日／17:25定時帰り★官公庁の【問合せ事務】 正社員,正社員,250万円～300万円
92,パスキン工業株式会社 | ★WEB面接可能★【創業66年】官公庁案件多数の優良企業★,働きやすさ&やりがい◎の【土木設計】※年休110日/残業月20h程度 正社員,正社員,420万円～600万円
93,大東建託株式会社 | 【プライム市場】全国募集/中途入社は9割が未経験/原則転勤なし,【営業】平均年収850万<全国/未経験者歓迎/福利厚生充実> 正社員,正社員,400万円～1000万円
94,株式会社筑豊製作所 | 福岡の隠れた優良企業｜地域未来牽引企業に認定｜土日の週休2日,【営業職】※賞与実績6.02カ月分！2021年度は決算賞与も支給！ 正社員,正社員,350万円～550万円
95,株式会社アークコア | <業績好調で本社池袋移転>★40～50代活躍中★面接1回&Web,【買取営業(訪問・事務業務・査定など)】★週休2日/残業少なめ 正社員,正社員,350万円～550万円
96,東京計器株式会社 | 【東証プライム上場】船舶湾港機器事業で世界トップクラスシェア,世界屈指の技術力を手に★船用機器の【電気設計】年間休日126日 正社員,正社員,
97,インターギアソリューション株式会社 | ★電話で稼ぐ！固定報酬＋高額インセンティブ,求人広告の【マッチングプランナー】★平均月収55万円<大阪採用> 業務委託,業務委託,480万円～800万円
98,株式会社BGパートナーズ | 賞与年2回＋インセン年4回で成果を還元/年休126日/残業月20h以内,自社サイトの完全反響営業！美容サロン【開業コンサルタント】 正社員,正社員,
99,"株式会社ファミリーマート | 「あなたと、コンビに、ファミリーマート」国内で約16,600店舗",全国で240名の大募集！【直営店舗運営職】★地域に密着して働く 契約社員,契約社員,312万円～414万円
100,株式会社テクノプロ・コンストラクション | 業界売上No.1【東証一部上場テクノプログループ】,未経験歓迎【事務スタッフ(書類作成/写真撮影等)】★土日祝休み 正社員,正社員,300万円～400万円
101,株式会社山口企画設計 | ★埼玉県所沢市を拠点に、住まいに関わる総合ビジネスを展開中,【設計アシスタント】★実務経験不問 ★フレキシブルな休日体系 正社員,正社員,400万円～500万円
102,株式会社アーキ・ジャパン | 完全週休2日/同期多数/未経験歓迎【大阪府緊急雇用対策に賛同】,未経験から一生モノの資格取得【進行管理アシスタント】年齢不問 正社員,正社員,350万円～750万円
103,株式会社レンタルのニッケン | 三菱商事グループ／建機レンタル業界シェアトップクラス,＼東海エリア／建機レンタルの【ルート営業】未経験OK／教育充実 正社員,正社員,350万円～450万円
104,株式会社ＧＲＡＣＥ | 【錬金堂】人生を変えたいあなたのリスタートを全力で応援します,毎日がトレジャーハント！◆リユース店の【買取・販売スタッフ】 正社員,正社員,300万円～800万円
105,株式会社ワールドコーポレーション | 【Nareru Group】設立以来、右肩上がりに成長中！賞与年2回,正社員デビュー歓迎【総合職】研修充実！★未経験歓迎 正社員,正社員,350万円～500万円
106,株式会社ベリサーブ | 関西限定募集★平均有給取得11.3日/賞与5.0カ月分(2021年度実績),【品質保証コンサルタント】※携帯/医療機器/家電/産業機器など 正社員,正社員,450万円～1000万円
107,ジェイリース株式会社 | 《東証一部上場企業》高ニーズのサービスで成長中★福利厚生充実,★未経験歓迎★【法人営業】土日祝休み/年間休日122日 正社員,正社員,300万円～500万円
108,クレストジャパン株式会社 | ★業界経験者歓迎★年収2000万を目指す人、必見の求人です！,反響営業！いまから目指すプロの不動産営業【売買仲介・仕入れ】 正社員,正社員,550万円～1000万円
109,株式会社ヒマラヤ | 《 多彩なキャリアが描ける 》★有給OK ★残業月平均6.32時間,スポーツの楽しさと感動を伝える【 店舗スタッフ 】★未経験歓迎 正社員,正社員,
110,BMWグループ合同募集 | 営業・販売・サービス経験者を積極採用中！,BMW／MINIの【セールス・コンサルタント】■年収1000万実例多数 正社員,正社員,500万円～700万円
111,株式会社ウォーターウィッシュ | 頼れる先輩や同期と一緒に頑張れる！資格取得率100％,2カ月の研修でITデビュー&資格も取得！【ITエンジニア】 正社員,正社員,
