,企業名,キャッチコピー,ステータス,初年度年収
113,株式会社マイスターエンジニアリング | ゼロから先端産業のエンジニアへ / 地域限定正社員募集！,経験ゼロからでOK【エンジニア地域限定総合職】年間休日121日 正社員,正社員,
114,"株式会社四国シジシー | 総年商4兆9,509億円を誇る「CGCグループ」/残業少なめ/転勤なし",地域の「食」を支える【営業企画】※土日休み ※転勤なし 正社員,正社員,
115,遠州鉄道株式会社 | アフラック募集代理店　★6月11日マイナビ転職 東京フェア出展★,【保険アドバイザー】新規開拓なし＆家族や友人への勧誘も不要◎ 正社員,正社員,300万円～600万円
116,"株式会社リノステージ | グループ販売実績6,000戸業界トップクラス＊土日休＊長期休暇OK",分業体制で効率よく働き収入UP！自社ブランドの【施工管理】 正社員,正社員,350万円～550万円
117,株式会社ハマエンジニアリング | 交替制で働くメリット⇒休日数＆給与UP★残業が発生しずらい！,★三重県募集★交替勤務だからこそ稼げる【半導体メンテナンス】 正社員,正社員,
118,ロイヤルハウジング株式会社 | 【創業48年ロイヤルグループ】昨対比売上150％以上！売上絶好調,100％反響【ルームアドバイザー】*経験者優遇*20代・30代活躍中 正社員,正社員,400万円～800万円
119,株式会社ビッグモーター | 未経験歓迎◆賞与年2回◆月8日以上休み◆資格手当（最大12万円）,【自動車整備士】転勤なし！地元で働けて未経験から年収1000万可 正社員,正社員,330万円～2400万円
120,ホーチキ株式会社 | ◇◆防災機器メーカーのリーディングカンパニー◆◇,東証一部上場企業【管理部門スタッフ（総務・経理）】土日祝休み 正社員,正社員,350万円～600万円
121,株式会社サカイ引越センター | ★千葉エリアでの募集★8年連続売上・取引件数第一位！,月給25万円以上！リフレッシュ休暇あり【営業スタッフ】未経験OK 正社員,正社員,400万円～600万円
122,山崎電設工業有限会社 | 《設立47年！中電工と安定取引を続ける地場の優良企業》転勤なし,賞与年2回／週休2日でしっかり休める【調査・設置技術スタッフ】 正社員,正社員,
123,つばめ自動車株式会社 | 入社祝金10万円★40・50代で入社⇒平均年収495万円,今まで頑張ってきたあなたへ。【 サービスドライバー 】 正社員,正社員,350万円～450万円
124,住友不動産株式会社 | 東証プライム上場◆平均残業時間18時間◆転勤なし◆完全週休二日,第二新卒歓迎◆最高年収実績1100万円【新築分譲マンション営業】 正社員,正社員,400万円～500万円
125,日の丸総業株式会社 | 【日の丸自動車学校】最新設備が整う職場/月収33万円以上可能,自動車学校での【指導員】※未経験者も経験者ともに歓迎！ 正社員,正社員,400万円～500万円
126,株式会社ヒマラヤ | 《 多彩なキャリアが描ける 》★有給OK ★残業月平均6.32時間,スポーツの楽しさと感動を伝える【 店舗スタッフ 】★未経験歓迎 正社員,正社員,
127,JFEスチール株式会社 | 【 西日本製鉄所 】世界トップクラスの技術力を持つ鉄鋼メーカー,未経験OK【 設備オペレーター 】★転勤なし／福利厚生充実 正社員,正社員,
128,株式会社チャーム | アスクル株式会社(東証一部上場)100％出資,【総合職（生き物の管理(お世話)／物流管理）】※正社員登用前提 契約社員,契約社員,305万円～367万円
129,株式会社ナック | ◎プライム市場上場◎有給消化率抜群◎充実のインセンティブ,届けるのは、ダスキン商品とふれあい【ルート営業】★未経験歓迎 正社員,正社員,450万円～600万円
130,名鉄バス株式会社 | 年間休日121日以上/賞与3回/大型二種免許取得費用会社負担,未経験歓迎！普通免許取得1年で始められる【バス運転士】 正社員,正社員,300万円～450万円
131,羽田空港サービス株式会社 | ANAのパートナー企業/引越費用補助＆住宅手当有/シャワー室完備,【グランドハンドリング】★業務領域拡大中★プライベートも充実 正社員,正社員,
132,光洋運輸産業株式会社 | 川崎重工業グループ 川重冷熱工業株式会社のパートナー企業,物流を通して社会を支える【梱包・発送スタッフ】★未経験歓迎 正社員,正社員,370万円～400万円
133,株式会社ネクスコ・エンジニアリング東北 | 【残業月平均22時間・年間休日123日・賞与平均4.9ヶ月分】,【土木系技術職】※東北エリア限定募集・UIターン歓迎！ 正社員,正社員,250万円～500万円
134,株式会社ネクスコ・エンジニアリング東北 | 【残業月平均22時間・年間休日123日・賞与平均4.9ヶ月分】,【電気・通信・機械職】※東北エリア限定募集・UIターン歓迎！ 正社員,正社員,250万円～500万円
135,株式会社キューブアクト | 完全週休2日、残業も月10時間程度で働きやすい環境が魅力！,【総合職】（事務・営業・コーディネーター）★未経験から挑戦OK 正社員,正社員,
136,大日本印章株式会社 | 【トップHDグループ】★オープニングスタッフ募集！博多駅前勤務,"★印章業界大手の【提案営業】*福岡限定採用！未経験OK,土日祝休 正社員",正社員,350万円～800万円
137,生和不動産保証株式会社 | 生和コーポレーショングループ | 大阪府緊急雇用対策に賛同,【不動産営業（賃貸仲介）】■歩合+賞与年2回■年休日118日 正社員,正社員,325万円～500万円
138,株式会社ベストリイム | 【名古屋南営業所】中途入社100%・未経験・20~30代多数活躍中！,"ヘアサロン向け【営業】オシャレ,美容に興味があれば楽しめる！ 正社員",正社員,350万円～550万円
139,株式会社パルライン | ＃好きな地域で働ける ＃始めやすい仕事 ＃初年度平均月収27万円,＼未経験歓迎／【ルート配送】＃日常に「いつもありがとう」を。 正社員,正社員,320万円～350万円
140,DSP株式会社 | 入社半年で月収100万円以上の社員多数/大阪府緊急雇用対策に賛同,アニメやスポーツ番組の【反響営業】完全週休2日★学歴不問！ 正社員,正社員,400万円～1000万円
141,株式会社プレナス | 【東証プライム上場】ほっともっと・やよい軒／※正社員採用※,120名採用プロジェクト始動！【店舗スタッフ（店舗運営）】 正社員,正社員,300万円～500万円
142,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／無料送迎あり♪,牡蠣旨し♪【日産自動車九州の製造スタッフ】★苅田町(株)PEO 正社員,正社員,350万円～360万円
143,電力調査株式会社 | ～ 電力会社のパートナーとして、電力インフラを守る会社です ～,◆中四国募集◆【調査スタッフ】未経験から電線保守のプロに！ 正社員,正社員,400万円～500万円
144,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】,35歳以下★ソフトバンクの【法人営業】学歴不問★未経験OK 正社員,正社員,
145,株式会社アイエフシー・コーポレーション | 《総合不動産業のアイエフシーグループ》★5・6月入社も可,未経験OK!【賃貸管理】★完全週休2日制★残業少なめ★賞与年2回 正社員,正社員,350万円～600万円
